Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2010-01-04,19.698381423950195,20.028176123675742,19.615932093774987,20.028176123675742,13120900
2010-01-05,19.842662811279297,19.91824124215426,19.43729104605317,19.739602148578165,15594300
2010-01-06,19.77396583557129,19.92512145761196,19.71900003569395,19.842672102551933,8833200
2010-01-07,20.007564544677734,20.076270790134,19.7396052075453,19.828925423418653,12058200
2010-01-08,19.911373138427734,20.090012256961803,19.712122670766245,19.92511491150442,15609800
2010-01-11,19.34796905517578,19.938852055412852,19.29300328611796,19.925110285526568,23670500
2010-01-12,19.224292755126953,19.478510216507832,19.162456110750174,19.341095160006745,23075800
2010-01-13,19.32735824584961,19.409807562552796,19.23803935403463,19.23803935403463,15639100
2010-01-14,19.444164276123047,19.540355381814543,19.320492243927134,19.320492243927134,13208200
2010-01-15,19.629674911499023,19.71212424606046,19.238043520929565,19.45103577868901,23013500
2010-01-19,19.842662811279297,19.89075901032809,19.478515049036133,19.554092169423672,14170100
2010-01-20,19.691511154174805,19.815184498068554,19.478518901073176,19.7189947019235,13256400
2010-01-21,19.56784439086914,19.966346793826162,19.45791278388018,19.670905108610278,18900600
2010-01-22,19.045663833618164,19.615934393517442,19.018181593996214,19.40294212211809,16696600
2010-01-25,18.97694969177246,19.20368364398737,18.90137127087174,19.20368364398737,11098400
2010-01-26,19.05253028869629,19.203687158158626,18.894503843792478,18.894503843792478,13275800
2010-01-27,19.128110885620117,19.18307666877757,18.887635092873403,18.976955309559035,12821800
2010-01-28,18.784576416015625,19.203691376330667,18.681515725418357,19.18994960145429,19430400
2010-01-29,19.244911193847656,19.29987697087932,18.812054553046735,18.942598764929752,22453800
2010-02-01,19.505992889404297,19.547218193593483,19.176198318813604,19.244905848641782,17172100
2010-02-02,19.945728302001953,19.959468765094527,19.444164050224746,19.50600072084813,19640800
2010-02-03,19.56096076965332,19.88388580167292,19.416676120826306,19.88388580167292,19437300
2010-02-04,19.18994140625,19.602185303075093,19.128104756201875,19.402933583922863,19813600
2010-02-05,19.224292755126953,19.286129399503732,18.915110843730158,19.134973885742216,20229400
2010-02-08,19.643417358398438,19.883893172743132,19.560968021013377,19.602193344949786,26005400
2010-02-09,19.835792541503906,19.98694808747267,19.629669912832995,19.835792541503906,18057700
2010-02-10,19.68463897705078,19.897631216192295,19.51287074634268,19.815183199325464,14481500
2010-02-11,19.918241500854492,19.97320727570816,19.609059508735406,19.725860633622936,14614200
2010-02-12,19.92511558532715,19.92511558532715,19.615932233083907,19.753347347522606,15027700
2010-02-16,20.22743034362793,20.26865435843732,19.87702294152861,20.007567183994116,13317200
2010-02-17,20.62593650817871,20.65341875303227,20.44042644108701,20.44729732992241,21524600
2010-02-18,20.81831169128418,20.873277479697617,20.522871397616804,20.62593208708103,16564800
2010-02-19,20.715242385864258,20.921364989549243,20.612181739265374,20.756466382406366,18576300
2010-02-22,20.83205795288086,20.990084464794748,20.749609907746677,20.887023753132997,16101000
2010-02-23,21.12749671936035,21.31987764906837,20.85266775584023,20.99695247025534,35770100
2010-02-24,21.546606063842773,21.587830069950563,21.12062029910384,21.14810384350072,22937500
