Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2010-01-04,23.64914894104004,23.774373854451724,23.57824968358341,23.755037693327193,9321000
2010-01-05,23.579177856445312,23.75228309680516,23.300183828298437,23.74123461084546,12906000
2010-01-06,23.54508399963379,23.607734039126782,23.263162336446868,23.607734039126782,10785000
2010-01-07,23.391233444213867,23.406895959850257,23.123130820449425,23.346089269783395,11273000
2010-01-08,23.399520874023438,23.486124216279297,23.189460806118056,23.247503303423642,8635000
2010-01-11,23.01441192626953,23.526662032223992,22.83752024582709,23.453879583652373,11171000
2010-01-12,23.001516342163086,23.303708162857703,22.90017303506766,22.995067174695205,8595000
2010-01-13,23.59944725036621,23.60773978958931,23.00151457953145,23.199597140732156,8585000
2010-01-14,23.998380661010742,24.123679034702572,23.44743543691978,23.608664638863956,12433000
2010-01-15,24.19829750061035,24.495881706459123,24.0048225172099,24.12090750725017,19419000
2010-01-19,24.39177894592285,24.864413292627706,24.11077800484284,24.184483025678063,14633000
2010-01-20,24.266489028930664,24.520770824237694,24.156851388446356,24.231479000058407,10211000
2010-01-21,23.816875457763672,24.59907148744716,23.595760425628495,24.281217200974154,14131000
2010-01-22,23.199594497680664,24.045361354166953,23.132338655865112,23.71368793928872,13251000
2010-01-25,23.258554458618164,23.42254775805932,22.893714485156384,23.346078587345975,10811000
2010-01-26,22.904775619506836,23.321209023859797,22.85318228699579,23.2189431662708,11194000
2010-01-27,23.616031646728516,23.625244993862687,22.880823063724836,23.00335899906964,10066000
2010-01-28,22.9821720123291,23.76528907853359,22.648656873083553,23.6132714610057,16120000
2010-01-29,23.02362823486328,23.506396749069157,22.949002404519774,23.139713250345707,15042000
2010-02-01,23.347929000854492,23.63261492488775,23.133263109098195,23.13694985375806,9329000
2010-02-02,23.268688201904297,23.613258110406093,23.19958900441085,23.60404652418818,13404000
2010-02-03,22.80987548828125,23.401358844412712,22.76196715169014,23.25855639916677,17961000
2010-02-04,20.463300704956055,21.69970292186368,20.350900663170503,21.590067060396887,108380000
2010-02-05,20.337074279785156,20.766407775819708,20.00632341190289,20.766407775819708,58136000
2010-02-08,20.858545303344727,21.048337140072853,20.284567511574565,20.361036730928117,28165000
2010-02-09,20.586750030517578,21.06583348402825,20.545290851708653,21.061227689612185,16486000
2010-02-10,20.90460968017578,20.993054662315966,20.4255261038336,20.4255261038336,18326000
2010-02-11,21.098081588745117,21.124800822487103,20.71297316960511,20.904606571645957,12221000
2010-02-12,20.773773193359375,20.982910657724428,20.697304018569145,20.982910657724428,14838000
2010-02-16,20.757205963134766,21.02162193996627,20.683500910192357,20.876976015191023,17568000
2010-02-17,20.713895797729492,20.826295830485208,20.584912441660055,20.784836643567683,12500000
2010-02-18,20.45315933227539,20.665061004439437,20.417226758075977,20.665061004439437,17281000
2010-02-19,20.511205673217773,20.62729068381839,20.232046351631126,20.445791435863732,17620000
2010-02-22,20.659536361694336,20.909212267684286,20.53055301757149,20.53055301757149,10856000
2010-02-23,20.455005645751953,20.608864858843866,20.21085808727351,20.56556405855836,16517000
2010-02-24,20.43012809753418,20.555428207465123,20.176767212454337,20.455003958021425,15190000
2010-02-25,20.406179428100586,20.55911785567567,19.93999416921426,20.227444326695156,19896000
2010-02-26,20.6715087890625,20.74244961082945,20.366554633288036,20.543446284056593,10947000
2010-03-01,21.442659378051758,21.45371434328795,20.764572306762442,20.81616565906488,24265000
2010-03-02,21.35696792602539,21.515434662710163,21.104527873479856,21.401191283112585,13247000
2010-03-03,21.388296127319336,21.603882828559108,21.28234527041292,21.358814470637483,13620000
2010-03-04,21.466602325439453,21.508984064899302,21.173625679450392,21.34959653141862,10161000
2010-03-05,22.069143295288086,22.093096587961313,21.43988567515284,21.52740982218354,32910000
2010-03-08,22.62837791442871,22.763810386233565,21.96318956426494,22.027681217505346,29561000
2010-03-09,22.70854377746582,23.20697313600043,22.540863635381232,22.57679446680412,21849000
2010-03-10,22.995988845825195,23.07890721845932,22.671687087861923,22.765660423456275,19561000
2010-03-11,23.05034065246582,23.07890149628138,22.677209825392644,22.853180682394193,11508000
2010-03-12,23.030080795288086,23.195917560275593,22.89741243765805,23.130505067800126,8736000
2010-03-15,23.04020881652832,23.12312717694192,22.65970622044649,23.12312717694192,11262000
2010-03-16,22.972036361694336,23.152613063976805,22.749077906729415,23.05587554489691,9672000
2010-03-17,22.90846824645996,23.124977559538284,22.738025679391217,23.003364161699682,11144000
2010-03-18,22.691951751708984,22.92504431667368,22.53717175154245,22.92504431667368,7593000
2010-03-19,22.513216018676758,22.85594437997293,22.34645675340682,22.513216018676758,9801000
2010-03-22,22.76382064819336,22.87069232784596,22.318826282964768,22.368576256206538,8089000
2010-03-23,22.626544952392578,23.092730199243924,22.51506571881799,22.762900051451833,11016000
2010-03-24,22.542699813842773,22.745388157667232,22.475443968380166,22.5906081595394,7700000
2010-03-25,22.672609329223633,23.059561173564042,22.672609329223633,22.704855169813122,13145000
2010-03-26,22.686420440673828,22.91766958547391,22.57862624449517,22.77947293440159,10836000
2010-03-29,22.849496841430664,22.962817657740892,22.720511755475552,22.74999516540396,7287000
2010-03-30,23.254878997802734,23.385705729407423,22.959138079561487,22.961902259722592,12046000
2010-03-31,23.40135955810547,23.427156220343907,23.163661239689628,23.235522868135043,9333000
2010-04-01,23.395832061767578,23.575489654031568,23.22262539256668,23.544164632369178,11188000
2010-04-05,23.54693603515625,23.610506905306455,23.297260107118838,23.450196761255352,7457000
2010-04-06,23.83898162841797,24.04627747229213,23.475062453312855,23.47967000387987,13992000
2010-04-07,23.567962646484375,23.92656141189468,23.498823352872943,23.866640807983792,7831000
2010-04-08,23.680431365966797,23.71914881349047,23.42047060761403,23.42047060761403,6402000
2010-04-09,23.864810943603516,23.96713616847098,23.674908998683144,23.852826464727016,4966000
2010-04-12,23.92841339111328,24.060237354616394,23.80949348731365,23.812259270923622,6537000
2010-04-13,23.829769134521484,24.017826546657663,23.71085101984703,23.848206514949325,7131000
2010-04-14,24.25658416748047,24.357988001756997,23.784598832239453,23.88231378379452,11661000
2010-04-15,24.21049690246582,24.39763124939116,24.175466576488244,24.392099682582675,6282000
2010-04-16,23.92195701599121,24.310975941139727,23.807647354199496,24.062999651662846,11495000
2010-04-19,23.719148635864258,24.109090649616007,23.481312386204042,23.860191267440143,9559000
2010-04-20,24.096179962158203,24.233535441220482,23.70715936867225,23.8712495737185,7375000
2010-04-21,24.02243995666504,24.27686917744877,23.855585673509243,24.27686917744877,5035000
2010-04-22,24.115541458129883,24.200352352986478,23.231489640015695,23.857423407423067,8638000
2010-04-23,24.633625030517578,24.66681091505468,24.15242091330108,24.300837810290403,10379000
2010-04-26,24.500869750976562,24.817987022479528,24.49165282036589,24.720270326812194,7095000
2010-04-27,23.49329948425293,24.501801183052947,23.492376384249845,24.501801183052947,10947000
2010-04-28,23.32274627685547,23.71914107207327,23.099660355594096,23.649080449434177,17995000
2010-04-29,23.54215431213379,23.824239574949463,23.21121156952693,23.389127206610116,14089000
2010-04-30,22.865522384643555,23.728371257519534,22.676543583528005,23.710856972515842,16675000
2010-05-03,23.114408493041992,23.17432908537397,22.54286390833448,23.155891709535677,16928000
2010-05-04,23.16143035888672,23.73205377683808,22.890406477671064,23.35686203101314,29370000
2010-05-05,21.9344539642334,22.953095678632362,21.756536551951445,22.86183185995332,25627000
2010-05-06,21.23016357421875,21.939063973218413,19.45099635947638,21.70122768451373,34273000
2010-05-07,20.565505981445312,21.56939904852554,20.46871236844458,21.050397146300465,29304000
2010-05-10,21.231082916259766,21.766676065424335,21.048557041548662,21.570323032386607,29826000
2010-05-11,20.57933807373047,20.971124602384304,20.394969494027947,20.963748593230388,29271000
2010-05-12,21.44402313232422,21.77588890932836,20.703779798941042,20.74157589705532,29123000
2010-05-13,21.415449142456055,22.1169750906975,21.254124706885865,21.45140080221021,22049000
2010-05-14,19.584659576416016,20.282498414543618,19.273073830119618,19.847386089497107,101983000
2010-05-17,19.433473587036133,19.97367682499291,19.19195025661441,19.84185290842362,34138000
2010-05-18,18.69600486755371,19.78470744802884,18.029508963016607,19.62983761404048,70828000
2010-05-19,18.662822723388672,19.65841898329787,18.072838517240946,18.718133138304076,91584000
