Price,Close,High,Low,Open,Volume,SMA_25,SMA_50,EMA_25,EMA_50
Ticker,JPM,JPM,JPM,JPM,JPM,,,,
Date,,,,,,,,,
2010-03-16,28.95208168029785,29.045820662882395,28.583817742721845,29.025731913617342,28553800,27.5931307220459,27.685531616210938,27.98960809451199,27.862448077150347
2010-03-17,29.320344924926758,29.53460619992003,28.972169714513726,28.998953012436854,32918800,27.737756881713867,27.698119430541993,28.091972466082357,27.919620502553347
2010-03-18,29.219919204711914,29.320355330469624,28.891832628404046,29.29357202304133,26012000,27.865510559082033,27.697584114074708,28.178737599823094,27.97061260852035
2010-03-19,29.09269905090332,29.387307736861583,28.878437723988853,29.092699050903317,37014400,27.984158248901366,27.691290168762208,28.24904232682927,28.014615998417725
2010-03-22,29.286867141723633,29.320344987100594,28.818169643858525,28.838255840245527,23257200,28.112447204589845,27.677229118347167,28.328875004898066,28.064508200116
2010-03-23,29.84929084777832,29.956421439632113,29.313635334314554,29.360504808613413,33735700,28.2332364654541,27.6758899307251,28.44583006973501,28.134499676494915
2010-03-24,30.09033966064453,30.110428407230465,29.59486151757795,29.755556165093186,35849200,28.364471130371093,27.68138027191162,28.572330807497284,28.211199283716468
2010-03-25,30.09033966064453,30.833559429439777,30.05686182192847,30.117122953295528,45019400,28.485796127319336,27.700797462463377,28.689100719277846,28.284891063203844
2010-03-26,30.14391326904297,30.726435971846982,29.98991313171299,30.157304918488528,39727000,28.61944160461426,27.71110870361328,28.801009376952088,28.35779389480538
2010-03-29,30.03678321838379,30.384958448227714,29.768955332597383,30.29791400221773,30628400,28.726840057373046,27.71338508605957,28.896068903216065,28.42363661337708
2010-03-30,29.84929084777832,30.16398552461428,29.701985326156304,30.063552031485912,30296300,28.85271827697754,27.725437202453612,28.969393668182395,28.479544622569286
2010-03-31,29.96314239501953,30.130534251974947,29.628358681108697,29.668533646288928,39043000,28.95717109680176,27.745122833251955,29.0458358779391,28.537724927371254
2010-04-01,30.284879684448242,30.372021487903886,30.157520554053704,30.184331252995353,23894600,29.0801180267334,27.769635963439942,29.141146939978267,28.606240800197803
2010-04-05,30.39212989807129,30.432349781727797,30.02345658090479,30.35191001441478,21342400,29.171734237670897,27.834593505859374,29.23737639829312,28.676275666781077
2010-04-06,30.72728729248047,30.794317873477425,30.264770146674856,30.318394100061866,28192100,29.280505981445312,27.92473419189453,29.351984928615224,28.756707495239876
2010-04-07,30.378725051879883,30.86805549166204,30.177630735908895,30.720587690378228,28890100,29.380959396362304,28.007234306335448,29.430964938097123,28.82031602687282
2010-04-08,30.673667907714844,30.814436251794184,30.036869569153477,30.271479214196784,28869900,29.495620956420897,28.105944213867186,29.526557474221566,28.892996492788193
2010-04-09,30.821136474609375,30.982013476779972,30.46586973100969,30.754105881985993,22881200,29.60573631286621,28.19568500518799,29.626140474251397,28.968609825408635
