Price,Close,High,Low,Open,Volume,SMA_25,SMA_50,EMA_25,EMA_50
Ticker,BAC,BAC,BAC,BAC,BAC,,,,
Date,,,,,,,,,
2010-03-16,13.28520393371582,13.31640739580477,13.183789334075428,13.238396508681525,107411800,12.590500030517578,12.445455532073975,12.774680106843165,12.545668042215311
2010-03-17,13.472431182861328,13.495833410940905,13.285205918554032,13.394420284083088,134463900,12.678146324157716,12.47025562286377,12.82835326653687,12.582011694789665
2010-03-18,13.324212074279785,13.511437358966036,13.246201167010272,13.488035128339192,123986800,12.753626747131348,12.484139022827149,12.866496251747865,12.611117592024573
2010-03-19,13.121383666992188,13.44122703196906,13.058975241824363,13.121383666992188,178218800,12.822241401672363,12.491003379821777,12.88610297599743,12.631128026337029
2010-03-22,13.230598449707031,13.238399689086924,12.949761271702242,12.965363750462027,113667800,12.900838050842285,12.491631946563722,12.912602627821245,12.654636670390754
2010-03-23,13.363214492797852,13.433424148509399,13.214995431125955,13.324209789817676,131261400,12.962597808837891,12.497251682281494,12.947265078973293,12.682424035975346
2010-03-24,13.706462860107422,13.83127970724846,13.339813557622401,13.355416035498576,270410600,13.022494888305664,12.507397537231446,13.005664908291305,12.722582421235428
2010-03-25,13.839082717895508,14.31494793850086,13.807879246082607,13.917093629329326,315304700,13.080835914611816,12.529083557128907,13.069773970568551,12.766366746594647
2010-03-26,13.963895797729492,14.221330694159304,13.84688020624939,14.026304212381143,220970700,13.144169464111329,12.549211769104003,13.138552572657854,12.813328670168563
2010-03-29,14.073113441467285,14.197930286754138,13.862484457070407,14.174526570287542,152539700,13.201580505371094,12.568405799865722,13.210441870258581,12.862731994533219
2010-03-30,13.85468578338623,14.135524481244861,13.784476108921574,14.088717039645463,144373000,13.258674430847169,12.591963138580322,13.259999094345323,12.90163214311569
2010-03-31,13.924896240234375,14.026309393528852,13.784476883415465,13.800079364825237,114280900,13.306414451599121,12.615989170074464,13.311145028644482,12.941760146924265
2010-04-01,14.073113441467285,14.119919386466313,13.956096347068465,14.057510963822887,95607200,13.353222427368165,12.64032880783081,13.369757983477006,12.986126942788697
2010-04-05,14.14332389831543,14.236937291360722,14.057513233286185,14.166727618560355,107989300,13.399408645629883,12.6819771194458,13.429263053849194,13.031507215554452
2010-04-06,14.42416000366211,14.463166197077578,14.119919134692134,14.16672507885656,160316600,13.455269012451172,12.738129959106445,13.505793588450189,13.086121050382204
2010-04-07,14.525572776794434,14.712798017646486,14.45536312548317,14.494367826018783,233522300,13.52298210144043,12.795063591003418,13.584238141399746,13.142570137692488
2010-04-08,14.548973083496094,14.697193604267985,14.283736988613235,14.502167151438456,164305500,13.59412742614746,12.85573974609375,13.658448521561004,13.197723194390669
2010-04-09,14.502176284790039,14.705004102024093,14.431966598519224,14.681600377288925,135480600,13.662465057373048,12.908931045532226,13.723350657194008,13.248878217543586
2010-04-12,14.556779861450195,14.68159671974008,14.50997391157507,14.572382340720011,128319000,13.723625259399414,12.96040771484375,13.787460595982946,13.300168478088946
2010-04-13,14.564577102661133,14.603581802193364,14.424157803650846,14.517771165635674,113687800,13.78384922027588,13.015002956390381,13.847238788804345,13.349753130032955
2010-04-14,15.134065628051758,15.149668114976414,14.75961486947026,14.806420842309185,246624700,13.86498062133789,13.077245807647705,13.946225468746455,13.419726169170948
