Price,Close,High,Low,Open,Volume,SMA_25,SMA_50,EMA_25,EMA_50
Ticker,DIS,DIS,DIS,DIS,DIS,,,,
Date,,,,,,,,,
2010-05-10,30.234603881835938,30.525898006703347,29.60917893366809,29.977580423007186,18282600,30.897384185791015,29.936456298828126,30.53421552589951,29.88293420409697
2010-05-11,30.637279510498047,31.057087091270798,30.10609714293832,30.431662005482618,19853200,30.907322769165038,30.008765907287597,30.542143524714785,29.912516372975446
2010-05-12,30.097522735595703,31.022807787215537,29.83192999158749,29.969009379539703,25533300,30.900811614990236,30.064454498291017,30.50794192555178,29.91977152445075
2010-05-13,29.771961212158203,30.44022289281309,29.76339517932732,30.140362720270705,15445900,30.869283294677736,30.11774425506592,30.45132802452151,29.91397504161575
2010-05-14,29.18080711364746,29.79766279714309,28.983755674786142,29.694854061265616,16945200,30.795260620117187,30.143275375366212,30.35359564676197,29.885223358166016
2010-05-17,29.300745010375977,29.42068905500133,28.52110545208108,29.317880340783898,15136700,30.737344284057617,30.160067443847655,30.27260713627074,29.862302638644838
2010-05-18,28.8980770111084,29.677716679875157,28.71816091867697,29.43782855663325,17393800,30.66503463745117,30.16932025909424,30.16687404971979,29.824489868937526
2010-05-19,28.60678482055664,28.95805099683023,28.349761347127565,28.67532615652748,18536600,30.5687361907959,30.170690994262696,30.04686718593801,29.776736729785334
2010-05-20,27.407337188720703,28.23838121635887,27.407337188720703,28.067031157368504,26615500,30.417605743408203,30.14773010253906,29.843826416921296,29.683819100723976
2010-05-21,28.16127586364746,28.16127586364746,26.901858232739293,26.901858232739293,20122900,30.316166610717772,30.131623191833498,29.71439945128485,29.624111522799407
2010-05-24,27.827144622802734,28.264087461560127,27.510149119941005,27.895685957600257,14040200,30.189710693359373,30.11088996887207,29.569226002940077,29.55364223260346
2010-05-25,27.690065383911133,27.732902084295567,26.739075601515246,27.05607274035233,26555900,30.04509178161621,30.086901092529295,29.424675186091697,29.4805607875567
2010-05-26,28.33262062072754,29.000882178102387,27.53584571698207,27.852841164938066,25296300,29.92548942565918,30.075249214172363,29.340670988755992,29.435543526112422
2010-05-27,29.446399688720703,29.446399688720703,28.68389522073269,28.78670396732303,16214500,29.842899246215822,30.085872917175294,29.348803965676357,29.435969257979416
2010-05-28,28.632490158081055,29.172241814894484,28.47827866722274,28.872381599015487,15832700,29.727409896850585,30.079704360961912,29.293702903553644,29.404460273669674
2010-06-01,28.555381774902344,29.018022714729,28.144140300030823,28.324059670873645,15438800,29.600268783569337,30.074392585754396,29.23690897058047,29.371163077639583
2010-06-02,29.76339340209961,29.806230100157695,28.666754976075303,28.760997672741436,18309300,29.546122283935546,30.08792922973633,29.277407773005017,29.38654465899096
2010-06-03,29.737689971923828,30.071820805819264,29.394993105362403,29.91760607198588,17752500,29.491975555419923,30.09992362976074,29.312814095998775,29.400315063419704
2010-06-04,28.863805770874023,29.42925867028159,28.64961901703433,29.180804519682724,21813100,29.371002655029297,30.08792915344238,29.278274994066102,29.379275483319876
2010-06-07,28.306922912597656,29.189371315676368,28.281218279067485,28.872375826802653,14577700,29.240777282714845,30.052802543640137,29.203555603183915,29.33722244133077
